Description,p_y101_y1015,q_y101_y1015,p_y101_y102,q_y101_y102,p_y101_y201,q_y101_y201,p_y101_y202,q_y101_y202,p_y102_y201,q_y102_y201,p_y102_y202,q_y102_y202,p_y201_y202,q_y201_y202,>1pep
Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2,0.164240358,0.215914955,0.663468627,0.529056179,0.687322859,0.692050732,0.808916359,0.778087537,0.11928558,0.232556846,0.517828064,1,0.209513198,0.386512437,x
Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3,0.162467588,0.215817743,0.238869508,0.389866752,0.943182525,0.769326608,0.579870583,0.695398085,0.241454814,0.287440327,0.338221255,1,0.548910786,0.536539605,x
Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,0.051172324,0.113817568,0.296894609,0.405616752,0.879557804,0.751682931,0.13242705,0.454102461,0.438792415,0.353101614,0.748837479,1,0.322066925,0.440085004,x
Collagen alpha-3(VI) chain OS=Homo sapiens GN=COL6A3 PE=1 SV=5,0.009639835,0.055177748,0.077523597,0.290252089,0.499916851,0.636245034,0.072253687,0.380222961,0.224420318,0.283467216,0.770934076,1,0.182292135,0.365740742,x
Fibrillin-1 OS=Homo sapiens GN=FBN1 PE=1 SV=3,0.428086062,0.363681008,0.9391204,0.600005302,0.149382437,0.608824883,0.163161229,0.479223471,0.179124905,0.263825603,0.240943139,1,0.029272828,0.209125174,x
Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens GN=HSPG2 PE=1 SV=4,0.364781542,0.334094052,0.797485968,0.562150015,0.069224911,0.608824883,0.475590714,0.643226118,0.217026169,0.280924226,0.462818628,1,0.655264213,0.577429013,x
Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4,0.975886803,0.599424034,0.380208031,0.437478306,0.544176554,0.640674953,0.720194861,0.757981034,0.773475263,0.463037932,0.779423672,1,0.689216343,0.590693064,x
Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2,0.004745157,0.043947307,0.254752229,0.393295932,0.029695671,0.608824883,0.118862997,0.435178604,0.018072083,0.176461091,0.285172541,1,0.019225646,0.174049235,x
Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2,0.052599177,0.115358192,0.008441413,0.16805672,0.023858737,0.608824883,0.000753776,0.059499329,0.03617107,0.200708451,0.588438717,1,0.00209091,0.074189412,x
Alpha-2-macroglobulin OS=Bos taurus GN=A2M PE=1 SV=2,0.239994288,0.266005153,0.603766162,0.507309092,0.297680114,0.608824883,0.611593134,0.706968053,0.410024136,0.343134931,0.884612105,1,0.363682419,0.452141063,x
Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,0.079158243,0.145823489,0.984935572,0.613447234,0.882965087,0.751682931,0.693901835,0.745846981,0.826903904,0.481081207,0.564258708,1,0.788340949,0.634761432,x
Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2,0.217469608,0.250270742,0.031415469,0.240633722,0.888129932,0.751682931,0.006582941,0.145076259,0.048744014,0.202796792,0.973927836,1,0.01773542,0.170077318,x
Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=7,0.002143502,0.03622118,0.005882268,0.160228477,0.076488738,0.608824883,0.172765887,0.487145968,0.665653152,0.424045933,0.727889649,1,0.573176459,0.542940948,x
Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4,0.152522368,0.208503764,0.283983548,0.402745676,0.053516313,0.608824883,0.51743244,0.666153344,0.006539434,0.132460898,0.4905223,1,0.005800112,0.10644771,x
Periostin OS=Homo sapiens GN=POSTN PE=1 SV=2,0.003591406,0.040971812,0.039033216,0.246646372,0.002126384,0.281423918,0.024798048,0.246605833,0.00035295,0.040696506,0.706111046,1,0.000258341,0.030554803,x
Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3,0.046057471,0.109150564,0.086622765,0.292572804,0.712181487,0.697968115,0.425684979,0.625693546,0.116355105,0.232556846,0.222395579,1,0.623569635,0.564237801,x
Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=3,0.000542157,0.019822028,0.010404342,0.16805672,0.090112898,0.608824883,0.077362648,0.39717855,0.004613857,0.132200723,0.711937159,1,0.034451138,0.228368515,x
Collagen alpha-1(III) chain OS=Homo sapiens GN=COL3A1 PE=1 SV=4,0.048705954,0.111410917,0.004081884,0.160228477,0.859514815,0.749484233,0.013786103,0.191332919,0.063326277,0.213736408,0.858382964,1,0.075341113,0.273146728,x
Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=3,0.053924309,0.117186397,0.009076649,0.16805672,0.887918984,0.751682931,0.007002787,0.145076259,0.066865513,0.216742638,0.348165218,1,0.038419534,0.230857499,x
Laminin subunit gamma-1 OS=Homo sapiens GN=LAMC1 PE=1 SV=3,0.000220285,0.016964114,0.001187605,0.111841594,0.603747687,0.660249924,0.006397606,0.145076259,0.005313045,0.132200723,0.779343058,1,0.014534443,0.167464433,x
Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3,0.019448325,0.07109221,0.470813144,0.470449333,0.941238991,0.768960931,0.222361953,0.518197636,0.462690059,0.362220501,0.903757021,1,0.265260466,0.416634879,x
Reelin OS=Homo sapiens GN=RELN PE=1 SV=3,0.001543978,0.032308613,0.028732996,0.240633722,0.154525889,0.608824883,0.015514208,0.206250761,0.120603949,0.233194644,0.545327113,1,0.051360148,0.246119379,x
Laminin subunit beta-1 OS=Homo sapiens GN=LAMB1 PE=1 SV=2,0.013737019,0.06090441,0.077392595,0.290252089,0.2691955,0.608824883,0.102275396,0.431059229,0.399936484,0.339604556,0.993476014,1,0.470953027,0.501774831,x
Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,0.432100159,0.365001088,0.23587209,0.387661998,0.263857222,0.608824883,0.139504386,0.459326709,0.056291067,0.212066019,0.649982487,1,0.037054803,0.229321071,x
Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4,0.02985454,0.086486187,0.261297948,0.398179431,0.063939344,0.608824883,0.070412284,0.379136758,0.059993175,0.212304618,0.942722384,1,0.012009909,0.163897763,x
Serotransferrin OS=Bos taurus GN=TF PE=2 SV=1,0.171372905,0.221494615,0.607712204,0.508717564,0.475254529,0.634633947,0.519105397,0.666654727,0.694210005,0.432675819,0.766598231,1,0.548436453,0.536539605,x
Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1,0.174610288,0.223184428,0.825494069,0.572039209,0.855075608,0.749364708,0.954566684,0.820442581,0.94328299,0.511575921,0.941920037,1,0.910983981,0.673872675,x
Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3,0.00035347,0.018835858,0.024504589,0.234394351,0.128270345,0.608824883,0.008283,0.153839663,0.010962243,0.157402841,0.833955583,1,0.004507636,0.101574698,x
Agrin OS=Homo sapiens GN=AGRN PE=1 SV=5,0.895843837,0.575942247,0.165474702,0.353402243,0.07259517,0.608824883,0.039722175,0.2968492,0.541496653,0.384732584,0.830855029,1,0.262180151,0.416585467,x
Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3,0.083805825,0.150967651,0.865216992,0.580498758,0.644392089,0.673826919,0.436504625,0.626656693,0.789456685,0.466806806,0.343952254,1,0.183430403,0.366706742,x
Complement factor H OS=Homo sapiens GN=CFH PE=1 SV=4,0.209258921,0.244475055,0.039623228,0.246646372,0.353209907,0.608824883,0.014638451,0.200954101,0.011338319,0.157402841,0.85126344,1,0.002844804,0.089063838,x
Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,0.367610125,0.335426615,0.122667946,0.325080529,0.394966828,0.608824883,0.040416873,0.298508131,0.09341456,0.230303107,0.836976729,1,0.065849086,0.264219594,x
Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4 PE=1 SV=3,0.0178598,0.069934527,0.56404414,0.49274886,0.408138455,0.61323726,0.57784371,0.695398085,0.261600662,0.296290088,0.963511496,1,0.268795766,0.416634879,x
Alpha-fetoprotein OS=Bos taurus GN=AFP PE=2 SV=1,0.962977953,0.596112352,0.531240161,0.485718866,0.459037775,0.624174769,0.231089853,0.521208358,0.621988317,0.409480553,0.724326307,1,0.72252935,0.607985005,x
Aggrecan core protein OS=Homo sapiens GN=ACAN PE=1 SV=2,3.56E-05,0.005476158,0.040378202,0.246646372,0.001567204,0.233344465,6.10E-05,0.019245147,0.009293515,0.14152907,0.160286536,1,1.88E-05,0.010012711,x
Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4,0.036480789,0.095898012,0.279619301,0.402745676,0.452010109,0.623814458,0.022905126,0.238189972,0.248062097,0.290676406,0.534023212,1,0.140452888,0.325721097,x
Collagen alpha-2(VI) chain OS=Homo sapiens GN=COL6A2 PE=1 SV=4,0.002845922,0.039958573,0.06509785,0.279768414,0.833456345,0.74302403,0.114395329,0.435178604,0.048016051,0.202796792,0.873407722,1,0.09212662,0.285903136,x
Chondroitin sulfate proteoglycan 4 OS=Homo sapiens GN=CSPG4 PE=1 SV=2,0.093989079,0.161764952,0.106188736,0.318385654,0.158328474,0.608824883,0.956456831,0.820442581,0.523069016,0.379892812,0.206420522,1,0.326366469,0.440785098,x
Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,0.431253205,0.364934679,0.571985482,0.49418528,0.644853281,0.673826919,0.484582535,0.646553306,0.939846425,0.511390428,0.338860246,1,0.36954085,0.452141063,x
72 kDa type IV collagenase OS=Homo sapiens GN=MMP2 PE=1 SV=2,0.652321101,0.48015553,0.323107752,0.420292323,0.125518837,0.608824883,0.261705382,0.548408179,0.29371141,0.310821284,0.814694285,1,0.369442896,0.452141063,x
ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3,0.014930985,0.063293489,0.125494944,0.326509463,0.445840579,0.622806778,0.057311289,0.354813046,0.187873665,0.265725123,0.664112247,1,0.139475773,0.325539257,x
Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,0.247409493,0.26929961,0.781125097,0.558107891,0.207313113,0.608824883,0.667117521,0.731373862,0.256955851,0.29459636,0.849346257,1,0.317870544,0.439098094,x
Sulfhydryl oxidase 1 OS=Homo sapiens GN=QSOX1 PE=1 SV=3,0.682290295,0.493977966,0.415241698,0.44930798,0.990215523,0.776795211,0.484280125,0.646553306,0.356522939,0.328968614,0.981951378,1,0.44944782,0.487679375,x
Nucleobindin-1 OS=Homo sapiens GN=NUCB1 PE=1 SV=4,0.010229276,0.055558926,0.122230836,0.325080529,0.892399493,0.754032595,0.052775079,0.33968071,0.151613838,0.247455003,0.115935705,1,0.071430438,0.271838176,x
Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2,0.140411206,0.200550868,0.226593304,0.383305771,0.734882259,0.704239514,0.189215857,0.503099037,0.25929883,0.296021099,0.653894833,1,0.217757012,0.392150951,x
Coiled-coil domain-containing protein 80 OS=Homo sapiens GN=CCDC80 PE=1 SV=1,0.034779936,0.093955901,0.042612057,0.246646372,0.034327299,0.608824883,0.017081256,0.21505908,0.205274062,0.278458416,0.936994636,1,0.110183669,0.304456565,x
Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens GN=LTBP1 PE=1 SV=4,0.860548228,0.565207834,0.504870585,0.482697595,0.384557249,0.608824883,0.105954305,0.434504099,0.022297269,0.182274658,0.041599215,1,0.005444895,0.105416536,x
"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2",0.711131799,0.504350829,0.794406654,0.561254015,0.173912911,0.608824883,0.524350007,0.668922264,0.472772015,0.365154784,0.578265842,1,0.116107147,0.304456565,x
